DHSID,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,BUFF_DIST,intersect_count,area_overlap,percent_overlap,area_by_count,nearest_concession,area_overlap_dissolved,percent_overlap_dissolved,total_dist,avg_dist
LB201300000085,2013,R,6.690391,-10.207376,104,105,WGS84,5000,19,12973.21853,165.2830323,683,63,7849.092771,100.0000001,,
LB198600000356,1986,R,7.1,-10.2,9999,206,WGS84,5000,5,17287.24998,220.2465493,3457,6,7849.044646,100,,
LB198600000357,1986,R,7.1,-10.2,9999,206,WGS84,5000,5,17287.24998,220.2465493,3457,6,7849.044646,100,,
LB200700000099,2007,R,4.477212521,-7.767643239,20,18,WGS84,5000,1,7849.013698,99.99679822,7849,220,7849.013694,99.99679817,,
LB198600000306,1986,R,7.54,-10.7867,9999,128,WGS84,5000,2,15697.82312,199.8911742,7849,334,7848.917256,99.94565964,,
LB201300000031,2013,R,6.861303,-10.168705,194,206,WGS84,5000,4,19007.35495,242.1667006,4752,471,7848.872253,100.0000001,,
LB201300000028,2013,R,8.211237,-10.17113,470,471,WGS84,5000,2,14778.98753,188.2945728,7389,84,7848.86536,99.99999979,,
LB201300000232,2013,R,6.638351,-10.15981,122,112,WGS84,5000,28,20219.46306,257.6113022,722,13,7848.826083,100.0000001,,
LB201300000289,2013,R,7.221221,-10.15929,213,213,WGS84,5000,8,26266.3023,334.6530829,3283,6,7848.815276,99.99999998,,
LB200700000233,2007,R,7.142997457,-10.15276531,215,209,WGS84,5000,4,20429.585,260.2899225,5107,6,7848.780614,99.99999992,,
LB200700000056,2007,R,7.143078242,-10.14871123,0,203,WGS84,5000,4,20270.31998,258.2614809,5068,6,7848.758511,99.99999994,,
LB198600000315,1986,R,8.25,-10.15,9999,496,WGS84,5000,2,15237.66709,194.1413454,7619,84,7848.749109,100.0000002,,
LB201300000244,2013,R,6.548462,-10.130866,110,112,WGS84,5000,7,21546.09887,274.5191177,3078,13,7848.669726,100.0000001,,
LB198600000215,1986,R,5.6417,-7.875,9999,205,WGS84,5000,18,24589.91851,313.3013074,1366,180,7848.648543,99.99999995,,
LB200700000190,2007,R,6.548487953,-10.12006953,94,118,WGS84,5000,7,20681.52387,263.505495,2955,13,7848.611982,99.99999995,,
LB200700000268,2007,R,5.027911053,-7.885021956,182,182,WGS84,5000,3,7859.271422,100.1359533,2620,75,7848.600983,99.99999992,,
LB200700000126,2007,R,6.6433912,-10.1121052,83,136,WGS84,5000,7,18500.7871,235.7217984,2643,13,7848.568622,99.99999999,,
LB201100000081,2011,R,4.978161,-7.89225,9999,137,WGS84,5000,2,7848.563824,100.0000097,3924,75,7848.563069,100.0000001,,
LB200700000276,2007,R,7.191653991,-10.11153844,0,204,WGS84,5000,4,23545.6764,300.0000007,5886,6,7848.558783,100,,
LB200700000225,2007,R,5.770297366,-7.901833163,181,187,WGS84,5000,5,18396.16187,234.3906489,3679,180,7848.505029,99.99999997,,
LB200700000007,2007,R,6.642636132,-10.09131875,114,121,WGS84,5000,7,16593.51282,211.4238095,2371,13,7848.459852,99.99999993,,
LB201300000009,2013,R,5.609742,-7.91611,188,184,WGS84,5000,12,29319.95833,373.5772556,2443,179,7848.4324,100.0000001,,
LB201300000070,2013,R,7.186773,-10.086932,201,199,WGS84,5000,3,22976.71757,292.7555649,7659,6,7848.430681,99.99999999,,
LB200700000032,2007,R,7.17506172,-10.0764558,0,206,WGS84,5000,3,21540.27819,274.4551884,7180,6,7848.377113,100,,
LB201100000016,2011,R,7.011212,-10.073473,9999,196,WGS84,5000,5,12249.87725,156.0819223,2450,6,7848.363895,99.99999995,,
LB200700000191,2007,R,5.236984872,-7.953464137,236,233,WGS84,5000,5,15360.89612,195.7239399,3072,47,7848.245929,100.0000002,,
LB201300000268,2013,R,4.690993,-7.960054,35,28,WGS84,5000,3,23282.8012,296.6635607,7761,123,7848.217412,100.0000001,,
LB200700000060,2007,R,7.267880756,-10.04363148,0,210,WGS84,5000,6,23505.87888,299.5061977,3918,17,7848.211186,100.0000001,,
LB201300000013,2013,R,5.038808,-7.964043,190,185,WGS84,5000,3,8507.570352,108.4016187,2836,71,7848.194945,100,,
LB200700000081,2007,R,5.159042839,-7.993670576,188,186,WGS84,5000,4,11243.76594,143.2682848,2811,109,7848.049524,100,,
LB201300000315,2013,R,5.250488,-7.996773,212,205,WGS84,5000,4,12631.55812,160.9518797,3158,58,7848.033931,100.0000001,,
LB200700000196,2007,R,5.384599573,-7.998211648,200,250,WGS84,5000,3,11637.57666,148.2866733,3879,94,7848.025988,100,,
LB198600000220,1986,R,5.1167,-8.0167,9999,173,WGS84,5000,2,15650.81038,199.4257031,7825,109,7847.940433,100,,
LB200700000222,2007,R,7.660701213,-9.982086978,0,390,WGS84,5000,1,7847.91179,99.99999989,7848,36,7847.911793,99.99999993,,
LB201300000163,2013,R,5.120911,-8.038381,235,179,WGS84,5000,3,15695.67947,200.0000002,5232,109,7847.839734,100.0000001,,
LB201300000032,2013,R,5.01008,-8.038896,9999,152,WGS84,5000,3,12624.06132,160.8603689,4208,109,7847.838095,99.9999999,,
LB200700000255,2007,R,4.874617194,-8.053916438,79,80,WGS84,5000,3,10601.50524,135.0893881,3534,491,7847.770571,100.0000001,,
LB198600000384,1986,R,6.0758,-9.9383,9999,64,WGS84,5000,8,8011.805182,102.0907729,1001,61,7847.727034,100,,
LB200700000080,2007,R,5.503585396,-8.06511035,233,237,WGS84,5000,7,16954.06862,216.038252,2422,103,7847.700154,99.99979719,,
LB201100000141,2011,R,5.107786,-8.075054,9999,304,WGS84,5000,2,15695.34922,199.9999995,7848,109,7847.674611,99.99999979,,
LB200700000231,2007,R,7.213344317,-9.965140258,0,221,WGS84,5000,6,16257.27972,207.1561498,2710,486,7847.668238,99.99783267,,
LB200700000130,2007,R,5.277965371,-8.080142128,202,199,WGS84,5000,3,10281.15523,131.0093312,3427,58,7847.651105,99.99999994,,
LB198600000218,1986,R,5.2667,-8.1,9999,191,WGS84,5000,3,11014.04358,140.3498242,3671,58,7847.564921,99.9999999,,
LB200700000202,2007,R,6.398111133,-9.897085009,674,109,WGS84,5000,5,26093.11482,332.5003676,5219,112,7847.544644,99.99999987,,
LB200700000277,2007,R,5.610699545,-8.109082748,222,215,WGS84,5000,8,22219.89973,283.1453576,2777,452,7847.523744,99.99999746,,
LB201300000124,2013,R,5.167493,-8.109947,202,189,WGS84,5000,5,16692.66585,212.7125434,3339,58,7847.523043,100,,
LB201300000005,2013,R,5.673466,-8.130789,218,211,WGS84,5000,5,21030.60148,267.9934048,4206,12,7847.432264,99.99999727,,
LB198600000217,1986,R,5.2167,-8.15,9999,194,WGS84,5000,6,20227.33723,257.7598896,3371,58,7847.356407,99.9999999,,
LB201300000153,2013,R,4.705793,-8.157672,34,28,WGS84,5000,1,7847.328062,100.0000001,7847,533,7847.328063,100.0000001,,
LB198600000359,1986,R,7.0167,-9.8333,9999,237,WGS84,5000,4,22301.35728,284.1922635,5575,85,7847.278107,99.99999996,,
LB201300000120,2013,R,4.74334,-8.177538,33,29,WGS84,5000,1,7847.248839,100.0000001,7847,533,7847.248834,100,,
LB201300000257,2013,R,5.220905,-8.220231,298,131,WGS84,5000,6,23750.4866,302.6664303,3958,31,7847.083206,100.0000001,,
LB201300000081,2013,R,7.039504,-9.767245,236,245,WGS84,5000,3,23541.08204,300.0000001,7847,85,7847.027349,100.0000001,,
LB198600000202,1986,R,6.1658,-8.25,9999,226,WGS84,5000,3,9506.894619,121.1537001,3169,83,7846.970107,100.0000001,,
LB201300000116,2013,R,7.600201,-9.744003,334,332,WGS84,5000,2,8046.150283,102.5386899,4023,36,7846.940792,100,,
LB200700000013,2007,R,7.088566376,-9.736857523,244,236,WGS84,5000,3,23540.75629,300,7847,85,7846.918759,99.99999993,,
LB201100000018,2011,R,6.984622,-9.728772,9999,288,WGS84,5000,4,18901.19849,240.8749895,4725,85,7846.891261,100.0000001,,
LB200700000166,2007,R,6.897977552,-9.719621162,254,255,WGS84,5000,3,18572.03008,236.6810345,6191,85,7846.860282,100.0000001,,
LB201100000053,2011,R,5.643629,-8.298682,9999,199,WGS84,5000,2,10584.97125,134.8953142,5292,12,7846.804252,100,,
LB201300000249,2013,R,5.723196,-9.700827,10,67,WGS84,5000,2,9268.839396,118.1225044,4634,117,7846.802299,99.99999999,,
LB201300000291,2013,R,6.201661,-8.331503,243,238,WGS84,5000,5,11843.91833,150.9414906,2369,83,7846.694955,99.99999997,,
LB201300000131,2013,R,4.818846,-8.342173,64,70,WGS84,5000,4,13295.92262,169.4467736,3324,56,7846.665755,99.99999499,,
LB201300000203,2013,R,6.376786,-9.657164,159,146,WGS84,5000,6,22626.12242,288.3536006,3771,53,7846.658528,99.99999986,,
LB201300000075,2013,R,5.668446,-9.655772,64,66,WGS84,5000,3,11895.43474,151.598763,3965,42,7846.656863,99.99999997,,
LB201300000279,2013,R,7.648941,-9.654631,316,313,WGS84,5000,5,11498.98154,146.5464724,2300,107,7846.645057,99.99999995,,
LB198600000216,1986,R,5.7,-8.35,9999,202,WGS84,5000,3,9848.515484,125.5125376,3283,488,7846.638803,99.99999994,,
LB201300000306,2013,R,5.718849,-9.649749,52,51,WGS84,5000,3,9208.403218,117.3547611,3069,117,7846.63796,100.0000001,,
LB201300000311,2013,R,5.61648,-9.644867,40,45,WGS84,5000,4,17427.97518,222.1079641,4357,42,7846.623268,100,,
LB201100000030,2011,R,6.379917,-9.581855,9999,212,WGS84,5000,6,31144.66669,396.9275179,5191,3,7846.436758,99.99999993,,
LB200700000296,2007,R,5.668581534,-8.419596606,245,187,WGS84,5000,3,15683.26679,199.8776136,5228,86,7846.43488,100,,
LB200700000181,2007,R,6.219187879,-8.422233148,254,0,WGS84,5000,4,10288.65109,131.1253185,2572,126,7846.426011,100.0000001,,
LB201300000225,2013,R,6.111765,-8.430662,9999,238,WGS84,5000,3,11366.97113,144.8685553,3789,126,7846.403316,99.99999996,,
LB198600000204,1986,R,6.2258,-8.4333,9999,250,WGS84,5000,4,11876.19341,151.358581,2969,126,7846.395847,99.99999997,,
LB200700000089,2007,R,4.864278807,-8.440335445,27,31,WGS84,5000,2,7846.384241,100.000048,3923,533,7846.380472,99.99999995,,
LB201100000136,2011,R,5.791433,-9.543388,9999,80,WGS84,5000,4,17374.09185,221.4293788,4344,17,7846.335456,100.0000001,,
LB201300000156,2013,R,5.808411,-8.459439,233,220,WGS84,5000,2,13806.4932,175.9612016,6903,14,7846.328106,100.0000001,,
LB200700000051,2007,R,7.957248958,-9.540717122,469,470,WGS84,5000,5,16243.61002,207.0219605,3249,35,7846.32219,100,,
